Id,Score,Body,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ViewCount,OK
64036,223,"<p>In java it's a bit difficult to implement a deep object copy function. What steps you take to ensure the original object and the cloned one share no reference? </p>
",How do you make a deep copy of an object in Java?,<java><class><clone>,17,2,79,245250,1
32418456,10,"<p>Consider the following two classes:</p>

<pre><code>public interface Foo&lt;T&gt;
{
    public T moo();
}

public class IntFoo implements Foo&lt;Integer&gt;
{
    public int moo()
    {
        return 0;
    }
}
</code></pre>

<p>This code will produce an error at <code>public</code><strong><code>int</code></strong><code>moo</code>, saying that <code>int</code> is incompatible with the overridden method's return type <code>Integer</code>. Strictly speaking, this is true, since <code>int</code> does not <em>directly</em> equal <code>Integer</code>. However, we all know that they can be implicitly converted to each other using auto(un)boxing. What is less know is the fact that the compiler generates a bridge method in this example:</p>

<pre><code>public class IntFoo implements Foo&lt;Integer&gt;
{
    public &lt;synthetic&gt; &lt;bridge&gt; Object moo()
    {
        return this.moo(); // upcast
    }

    public Integer moo() {
        return 0;
    }
}
</code></pre>

<p>This has to be done because the JVM differentiates between return types when resolving methods, and since the erased return type of <code>Foo.moo</code> is <code>Object</code>, the compiler generated a bridge method with the same signature as the method.</p>

<p>I am wondering why this wouldn't work with primitive polymorphic return types as well:</p>

<pre><code>public class IntFoo implements Foo&lt;Integer&gt;
{
    public &lt;synthetic&gt; &lt;bridge&gt; Object moo()
    {
        return Integer.valueOf(this.moo());
    }

    public int moo()
    {
        return 0;
    }
}
</code></pre>

<p>There doesn't seem to be any reason not to have this feature:</p>

<pre><code>IntFoo intFoo = new IntFoo();
Foo&lt;Integer&gt; foo = intFoo;
Integer i = foo.moo(); // calls the synthetic method, which boxes the result of the actual implementation
</code></pre>

<p>In fact, this screenshot of a REPL session shows that I was even able to implement this in my <a href=""https://github.com/Dyvil/Dyvil"" rel=""noreferrer"">custom programming language</a> (which compiles down to Java bytecode):</p>

<p><a href=""https://i.stack.imgur.com/uALjm.png"" rel=""noreferrer""><img src=""https://i.stack.imgur.com/uALjm.png"" alt=""REPL session""></a></p>
",Why is it not possible use primitive types with polymorphic return types?,<java><polymorphism><primitive><return-type>,3,1,,515,1
32418461,9,"<p>How does Java know which <code>String::compareTo</code> method reference to use when calling <code>Collections.sort(someListOfStrings, String::compareTo);</code>? <code>compareTo</code> is not static and it needs to know the <code>value</code> of the ""left hand side"" of the comparison.</p>
",How does Java 8 know which String::compareTo method reference to use when sorting?,<java-8><method-reference>,2,2,3,1297,1
65200,111,"<p>I was reading a book on programming skills wherein the author asks the interviewee, ""How do you crash a JVM?"" I thought that you could do so by writing an infinite for-loop that would eventually use up all the memory.</p>

<p>Anybody has any idea?</p>
",How do you crash a JVM?,<java><jvm>,24,3,58,52408,0
1588420,16,"<p>I've heard about this happening in non thread-safe code due to improperly <em>constructed</em> objects but I really don't have the concept down, even after reading about in in Goetz's book. I'd like to solidify my understanding of this code smell as I maybe doing it and not even realize it. Please provide code in your explanation to make it stick, thanks. </p>
","How does ""this"" escape the constructor in Java?",<java><constructor><initialization><thread-safety>,6,0,12,4357,1
1589517,129,"<p>What is the concept of switching branches in IntelliJ?
I must be either blind or an idiot...</p>

<p>I would assume there'd be a ""switch to copy"" option or something like that, but there is none...</p>

<p>EDIT for clarification: my prev IDE had a simple ""switch to copy"" option, which updated all files being different from current branch/trunk.
IntelliJ seems to have a completely different approach to this, which I just do not seem to understand. The help is not very useful either.</p>

<p>Helpful keywords, links or hints are very much appreciated. Thanks.</p>
",How do I switch to another subversion branch in Intellij?,<java><svn><versioning><intellij-idea><branch>,4,1,10,37729,0
9327822,8,"<p>In my android application I have an activity containing a <code>Parcelable</code> object (implements <code>Parcelable</code>).</p>

<p>That object contains a map.</p>

<p>When I try to do the following in the <code>writeToParcel()</code> method:</p>

<pre><code>parcel.writeMap(myMap);
</code></pre>

<p>I get the following comment from the API:</p>

<blockquote>
  <p>Please use writeBundle(Bundle) instead. Flattens a Map into the parcel
  at the current dataPosition(), growing dataCapacity() if needed. The
  Map keys must be String objects. The Map values are written using
  writeValue(Object) and must follow the specification there.</p>
</blockquote>

<p>How am I supposed to do it?
How am I supposed to use the <code>writeBundle(myMap)</code> here?</p>
",How to write a map into a parcel?,<java><android>,1,3,,3314,0
1593074,8,"<p>I want to deploy one of my OSGi bundles with a war package structure so it is recognized as a web application by Struts. I use Maven, so I get WAR packaging built-in and I have the Maven bundle-plugin to create the OSGi compatible manifest for me.</p>

<p>The problem is, the two don't work together, so the bundle plugin is not aware that the class files are now in the subfolder <code>classes/</code> and the bundled jars are in <code>lib/</code>, so it creates a wrong <code>Bundle-classpath</code> header. I could manually add the correct header to my <code>pom.xml</code>, but I'd like to have that don eautomatically. How can I do that?</p>
",How can I combine WAR packaging and OSGi bundle creation in Maven?,<java><web-applications><maven-2><osgi>,2,1,6,7617,0
1593203,10,"<p>I'm currently working on a project which uses JUnit4 extensively throughout all the modules. We're using Maven2 to build the project and Hudson for continuous integration. The project is built and run under Java 1.5.</p>

<p>We've recently added quite a large raft of unit tests which are needed at times, but don't want to be run during the build process (but other unit tests in the same project do).</p>

<p>I want to know if there's some kind of annotation that can be applied to the tests, or some configuration that can be made to Maven that would ignore unit tests that live under a certain package or in a certain test class at build time?</p>

<p>There's possibly the alternative of just putting these particular tests in a normal class that would be run through main, but that's not ideal.</p>

<p>Thanks for your suggestions</p>
",Is it possible to ignore certain unit tests?,<java><unit-testing><maven-2><junit><annotations>,8,0,3,11175,0
17336804,8,"<p>I am going to implement something similar to Facebook notification and this website (StackOverflow's notification which is notifying us if anyone write a comment/answer etc for our question). Please note users are going to use my application as a website not mobile application.</p>

<p>I came across following <a href=""https://stackoverflow.com/questions/4930439/call-jquery-ajax-request-each-x-minutes"">answer</a> which fetch the results, but I need to push the results not fetch.</p>

<p>Based on suggestions I have created a simple method in my entity class and added the @PostPersist to it but it has not worked so based on <a href=""https://stackoverflow.com/questions/15137427/postpersist-not-called-prepersist-is-why"">this answer</a> I added the persistence.xml file to define the listeners but after session.save(user) the aftersave method does not get triggered.</p>

<p><strong>User.java</strong></p>

<pre><code>@Entity
public class User{
  .....
  @PostPersist
    public void aftersave(){
        System.err.println(""*****this is post persist method****"");
    }
}
</code></pre>

<p><strong>persistence.xml</strong></p>

<pre><code>&lt;?xml version=""1.0"" encoding=""UTF-8""?&gt;
&lt;!DOCTYPE hibernate-configuration PUBLIC
        ""-//Hibernate/Hibernate Configuration DTD 3.0//EN""
        ""http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd""&gt;
&lt;!--
To change this template, choose Tools | Templates
and open the template in the editor.
--&gt;

&lt;property name=""hibernate.ejb.event.pre-insert""  value=""my.hibernate.events.listeners.Listener"" /&gt;
&lt;property name=""hibernate.ejb.event.pre-update""  value=""my.hibernate.events.listeners.Listener"" /&gt;
&lt;property name=""hibernate.ejb.event.pre-delete""  value=""my.hibernate.events.listeners.Listener"" /&gt;
&lt;property name=""hibernate.ejb.event.post-insert"" value=""my.hibernate.events.listeners.Listener"" /&gt;
&lt;property name=""hibernate.ejb.event.post-update"" value=""my.hibernate.events.listeners.Listener"" /&gt;
&lt;property name=""hibernate.ejb.event.post-delete"" value=""my.hibernate.events.listeners.Listener"" /&gt;
</code></pre>

<p><strong>pom.xml</strong></p>

<pre><code> &lt;dependency&gt;
            &lt;groupId&gt;org.hibernate&lt;/groupId&gt;
            &lt;artifactId&gt;hibernate-core&lt;/artifactId&gt;
            &lt;version&gt;4.2.1.Final&lt;/version&gt;
            &lt;type&gt;jar&lt;/type&gt;
        &lt;/dependency&gt;
</code></pre>
",How to send messages from server to client?,<mysql><hibernate><java-ee><struts2><notifications>,6,2,4,2255,0
17337526,104,"<p>Is there any non-painful way to upgrade an Eclipse installation? I have tried browsing the eclipse site but I cannot find an useful description. </p>
",How to upgrade Eclipse for Java EE Developers?,<java><eclipse><upgrade>,3,4,29,65791,0
17338246,8,"<p>If I declare a variable before or without declaring enum constants in this way:</p>

<pre><code>enum MyEnum
{
    int i = 90;
}
</code></pre>

<p>It shows following compilation error.</p>

<pre><code>MyEnum.java:3: &lt;identifier&gt; expected
{
 ^
MyEnum.java:4: ',', '}', or ';' expected
        int i = 90;
        ^
MyEnum.java:4: '}' expected
        int i = 90;
             ^
MyEnum.java:5: class, interface, or enum expected
}
^
4 errors
</code></pre>

<p>But if I declare an enum constant before declaring <code>i</code> then it compiles fine. <br>
Even the following code will compile fine:</p>

<pre><code>enum MyEnum
{
    ;//put a semicolon
    int i = 90;
}
</code></pre>

<p>Why java enum is designed in this way?</p>
",Why the enum constants must be declared before any other variables and methods declaration in an enum type?,<java><syntax><enums>,2,5,1,1202,1
9328252,25,"<p>If in a class I have a ConcurrentHashMap instance that will be modified and read by multiple threads I might define like this:</p>

<pre><code>public class My Class {

    private volatile ConcurrentHashMap&lt;String,String&gt; myMap = new ConcurrentHashMap&lt;String,String&gt;();
...
}
</code></pre>

<p>adding <code>final</code> to the myMap field results in an error saying I can only use final or volatile. Why can it not be both?</p>
",Why can an Object member variable not be both final and volatile in Java?,<java><multithreading><syntax>,7,1,8,7023,1
9328763,8,"<p>Kind of a long title, but that is generally the question.</p>

<p>I want to know if you think its a good idea to do the following.</p>

<p>Instead of:</p>

<pre><code>public void buyItem(int itemId, int buyerId) {
    if (itemId &lt;= 0) {

        throw new IlleglArgumentException(""itemId must be positive"");
    }
    if (buyerId &lt;= 0) {

        throw new IlleglArgumentException(""buyerId must be positive"");
    }
    // buy logic
}
</code></pre>

<p>I want to have something like:</p>

<pre><code>@Defensive(""isPositive(#itemId, #buyerId)"")
public void buyItem(int itemId, int buyerId) {
    // buy logic
}
</code></pre>

<p>Do you think this is good/terrible/too fancy/too slow ?
If you actually think its good I was thinking of using <a href=""http://static.springsource.org/spring/docs/3.0.5.RELEASE/reference/expressions.html"" rel=""nofollow"">SpEL</a> to implement it, does anyone have something better/lighter/faster in mind ?</p>

<p>Thanks,</p>
",Is it a good idea to use aspects as a method for removing defensive checks from application logic?,<java><coding-style><aop><spring-aop>,5,0,4,216,0
1599963,11,"<p>I am reading pixel color in a BufferedImage as follows:</p>

<pre><code>.....
InputStream is = new BufferedInputStream(conn.getInputStream());
BufferedImage image = ImageIO.read(is);

int color = image.getRGB(x, y);

int  red = (colour &amp; 0x00ff0000) &gt;&gt; 16;
int  green = (colour &amp; 0x0000ff00) &gt;&gt; 8;
int  blue = colour &amp; 0x000000ff;
</code></pre>

<p>Now this works fine except for png's with transparency. I find that if x,y refer to a transparent pixel with no color, i still read a color, generally the same color as used elsewhere in the image.</p>

<p>How do I detect that the pixel is actually transparent and not colored?</p>

<p>Thanks</p>
",How to read pixel color in a java BufferedImage with transparency,<java><transparency><bufferedimage><javax.imageio>,1,0,5,20069,1
9329283,33,"<p>I am attempting to do unit testing of my DAO (using Spring and Hibernate). I am using HSQLDB per <a href=""http://www.informit.com/guides/content.aspx?g=java&amp;seqNum=507"" rel=""noreferrer"">this</a> tutorial. The tutorial states that the in-memory HSQLDB database can be initialized using a SQL script but I cannot find information on how to do so in Spring. Here is the pertinent Spring context config:</p>

<pre class=""lang-xml prettyprint-override""><code> &lt;bean id=""dataSource"" class=""org.apache.commons.dbcp.BasicDataSource""&gt;
    &lt;property name=""driverClassName"" value=""org.hsqldb.jdbcDriver"" /&gt;
    &lt;property name=""url"" value=""jdbc:hsqldb:mem:mydb"" /&gt;
    &lt;property name=""username"" value=""sa"" /&gt;
    &lt;property name=""password"" value="""" /&gt;
    &lt;property name=""initialSize"" value=""5"" /&gt;
    &lt;property name=""maxActive"" value=""10"" /&gt;
    &lt;property name=""poolPreparedStatements"" value=""true"" /&gt;
    &lt;property name=""maxOpenPreparedStatements"" value=""10"" /&gt;
&lt;/bean&gt; 
</code></pre>

<p>Any help would be appreciated. Thanks.</p>
",How to initialize in-memory HSQLDB using script via Spring,<java><spring><hsqldb>,5,2,20,69252,0
1600667,41,"<p>Why does the compiler give an error message when you reduce the visibility of a method while overriding it in the subclass?</p>
",Why can't you reduce the visibility of a method in a Java subclass?,<java><polymorphism><override><subclassing>,3,0,5,11357,1
1601793,21,"<p>When I reformat code with Eclipse, it turns method headers like this:</p>

<pre><code>public void myMethod(String param) {
</code></pre>

<p>into method headers like this:</p>

<pre><code>public void myMethod(
                     String param) {
</code></pre>

<p>When I was brought on here I'd never used Eclipse before, and I imported project settings provided by someone else.  I have seen that on small new projects I've worked on Eclipse does not do this, so it must be in the settings I've imported.  But I've gone through every panel I can find, as well as every hidden file I can find in the workspace, and I can't figure out what is causing this.</p>

<p>How do I turn it off?  I don't want a newline before parameters in my method signatures, and I can't imagine why anyone would!</p>
",How do I modify Eclipse code formatting?,<java><eclipse><code-formatting><code-standards>,4,0,4,28961,0
9330394,47,"<p>I have a list of items. Each of these items has its own probability.</p>

<p>Can anyone suggest an algorithm to pick an item based on its probability?</p>
",How to pick an item by its probability?,<java><list><random><probability>,9,0,27,39970,1
1609126,18,"<p>I saw <a href=""https://stackoverflow.com/questions/12159/how-should-i-unit-test-threaded-code"">this</a> post on SO already but it still begs the question, at least for Java. It seems that this should be a pressing issue for any app (i'm testing a web app for this use case) that's multi-threaded. How have you guys dealt with it in a way that allows your threads to interleave -- inherently meaning testing random thread behavior.</p>
",How can I effectively test (unit/integration) concurrent code in Java?,<java><testing><multithreading>,6,0,3,4794,1
17342042,9,"<pre><code>public int add(int a, int b){  
        while (b != 0){
            int carry = (a &amp; b) ;

            a = a ^ b; 

            b = carry &lt;&lt; 1;
        }
        return a;
 }
</code></pre>

<p>This is the code to calculate sum of two integers using bitwise operation.</p>

<p>If i calculate manually/programmatically, i see it works for every integer.
But i am not able to figure out any relation between intermediate value of <code>a</code> and <code>carry</code>.
and why carry is multiplied by 2 to assign to <code>b</code>? </p>

<p>PS: I found the one answer here
<a href=""https://stackoverflow.com/questions/4895173/bitwise-multiply-and-add-in-java"">Bitwise Multiply and Add in Java</a>
but this is for multiplication and not for addition.</p>
",Why this code for addition(using bitwise operation) works in java,<java><bit-manipulation><bitwise-operators>,5,6,4,9089,0
1610045,100,"<p>I am attempting to use the android NDK.</p>

<p>Is there a way to return an array (in my case an <code>int[]</code>) created in JNI to Java?  If so, please provide a quick example of the JNI function that would do this.</p>

<p>-Thanks</p>
",How to return an array from JNI to Java?,<java><android><arrays><jni>,2,0,34,76965,0
1611357,59,"<p>I bought a third-party Java library which includes a JAR file and two DLL files. I wrote my own Java program which invoke the third-party JAR file. Now my question is <strong>how can I package all my code into a single JAR file which include all my code and the third-party JAR and DLLs?</strong></p>

<p>I know <em>SWT</em> is such a case. The <code>swt.jar</code> includes dll files, but I don't know how to do this and how to make it work properly.</p>
",How to make a JAR file that includes DLL files?,<java><dll><jar><swt><packaging>,2,0,36,67562,0
1612808,9,"<p>I have a problem while pasting my contents (or text) generated by Java code into excel.
The problem is that my Java code generates a String with multiple lines, i.e. with line breaks (<code>\n</code>) included.  When I try to copy this content and paste it into an Excel file, I am getting a multiline text with a square box symbol.  I came to know that Windows uses <code>\r\n</code> for line breaks and not just <code>\n</code>.  I tried to replace my <code>\n</code> with <code>\r\n</code> and paste the generated text, but I am getting the same square boxes in my Excel file.  Here is my sample code:</p>

<pre><code>      String   myString = ""a1\nb1"";
      String   tmpString =myString.replace(""\n"",""\r\n"");
      System.out.println( ""Original = "" +""\""""+myString+""\"""");
      System.out.println( ""Result   = "" +""\""""+tmpString+""\"""");
</code></pre>

<p>I have used the <strong>"" ""</strong> to wrap the text.  When I tried to paste <strong>tmpstring</strong> in Excel, I got the square box.  How can I remove the boxes with <strong>multiple lines in my cell</strong>?</p>
",How to remove the carriage return from string while pasting content to Excel file,<java><excel><carriage-return>,5,1,1,66220,0
